Timestamp,Scheduled_CF,Actual_CF,Scheduled_MW,Actual_MW,Imbalance_MW,Nowcast_Alert
2026-08-28 00:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 01:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 02:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 03:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 04:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 05:00:00,0.2,0.2,2.0,2.0,0.0,False
2026-08-28 06:00:00,0.15,0.15,1.5,1.5,0.0,False
2026-08-28 07:00:00,0.3,0.3,3.0,3.0,0.0,False
2026-08-28 08:00:00,0.5,0.5,5.0,5.0,0.0,False
2026-08-28 09:00:00,0.7,0.7,7.0,7.0,0.0,False
2026-08-28 10:00:00,0.85,0.85,8.5,8.5,0.0,False
2026-08-28 11:00:00,0.9,0.06,9.0,0.6,-8.4,True
2026-08-28 12:00:00,0.85,0.85,8.5,8.5,0.0,False
2026-08-28 13:00:00,0.7,0.7,7.0,7.0,0.0,False
2026-08-28 14:00:00,0.5,0.5,5.0,5.0,0.0,False
2026-08-28 15:00:00,0.3,0.3,3.0,3.0,0.0,False
2026-08-28 16:00:00,0.15,0.15,1.5,1.5,0.0,False
2026-08-28 17:00:00,0.05,0.05,0.5,0.5,0.0,False
2026-08-28 18:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 19:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 20:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 21:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 22:00:00,0.0,0.0,0.0,0.0,0.0,False
2026-08-28 23:00:00,0.0,0.0,0.0,0.0,0.0,False
